index,predicted,true_label,is_correct
0,0-0-None-None,0-0-None-None,True
1,137173-163431-AUD-MONTHLY,137173-163431-AUD-ANNUAL,True
2,60-70-AUD-HOURLY,60-70-AUD-HOURLY,True
3,0-0-None-None,0-0-None-None,True
4,40-43-AUD-HOURLY,40-43-AUD-HOURLY,True
5,38-40-AUD-HOURLY,38-40-AUD-HOURLY,True
6,40-45-AUD-HOURLY,40-45-AUD-HOURLY,True
7,0-0-None-None,0-0-None-None,True
8,0-0-None-None,0-0-None-None,True
9,0-0-None-None,0-0-None-None,True
10,85000-85000-AUD-MONTHLY,85000-85000-AUD-ANNUAL,False
11,50-55-AUD-HOURLY,50-55-AUD-HOURLY,True
12,78-90-AUD-HOURLY,78-90-AUD-HOURLY,True
13,32-42-AUD-HOURLY,32-32-AUD-HOURLY,False
14,3389-3389-AUD-HOURLY,34-34-AUD-HOURLY,False
15,29-29-AUD-HOURLY,29-29-AUD-HOURLY,True
16,0-0-None-None,0-0-None-None,True
17,85000-85000-AUD-ANNUAL,85000-85000-AUD-ANNUAL,True
18,52-52-AUD-HOURLY,52-52-AUD-HOURLY,True
19,3744-3744-AUD-HOURLY,37-37-AUD-HOURLY,False
