index,predicted,true_label,is_correct
0,0-0-HKD-MONTHLY,0-0-None-None,False
1,106-106-HKD-HOURLY,106-106-HKD-HOURLY,True
2,75-75-HKD-HOURLY,75-75-HKD-HOURLY,True
3,40-44-HKD-HOURLY,40-44-HKD-HOURLY,True
4,44-50-HKD-HOURLY,44-50-HKD-HOURLY,True
5,0-0-None-None,0-0-None-None,True
6,0-0-None-None,0-0-None-None,True
7,13300-13300-HKD-MONTHLY,13300-13300-HKD-MONTHLY,True
8,80-90-HKD-HOURLY,80-90-HKD-HOURLY,True
9,0-0-None-None,0-0-None-None,True
10,100-120-HKD-HOURLY,100-120-HKD-HOURLY,True
11,0-0-None-None,0-0-None-None,True
12,12000-30000-HKD-MONTHLY,12000-30000-HKD-MONTHLY,True
13,5000-5000-HKD-MONTHLY,3750-5000-HKD-WEEKLY,False
14,0-0-None-None,0-0-None-None,True
15,120-140-HKD-HOURLY,120-140-HKD-HOURLY,True
16,130-130-HKD-HOURLY,130-130-HKD-HOURLY,True
17,44-50-HKD-HOURLY,44-50-HKD-HOURLY,True
18,70-70-HKD-HOURLY,70-70-HKD-HOURLY,True
19,50-50-HKD-HOURLY,50-50-HKD-HOURLY,True
