index,predicted,true_label,is_correct
0,2000-2300-MYR-MONTHLY,2000-2300-MYR-MONTHLY,True
1,1500-2500-MYR-MONTHLY,1500-2500-MYR-MONTHLY,True
2,0-0-None-None,0-0-None-None,True
3,40-100-RMY-HOURLY,40-100-MYR-HOURLY,False
4,0-0-None-None,0-0-None-None,True
5,0-0-MYR-MONTHLY,0-0-None-None,False
6,1800-2100-MYR-MONTHLY,1800-2100-MYR-MONTHLY,True
7,1800-2500-MYR-MONTHLY,1800-2500-MYR-MONTHLY,True
8,0-0-None-None,0-0-None-None,True
9,0-0-None-None,0-0-None-None,True
10,3000-3000-MYR-MONTHLY,3000-3000-MYR-MONTHLY,True
11,0-0-MYR-MONTHLY,0-0-None-None,False
12,3000-4000-MYR-MONTHLY,3000-4000-MYR-MONTHLY,True
13,0-0-None-None,0-0-None-None,True
14,1500-1800-MYR-MONTHLY,1500-1800-MYR-MONTHLY,True
15,1500-2000-MYR-MONTHLY,2000-3000-MYR-MONTHLY,False
16,3000-3000-MYR-MONTHLY,3000-3000-MYR-MONTHLY,True
17,3000-5000-MYR-MONTHLY,3000-5000-MYR-MONTHLY,True
18,1500-2100-MYR-MONTHLY,1500-2100-MYR-MONTHLY,True
19,1500-2000-MYR-MONTHLY,2000-3000-MYR-MONTHLY,False
