index,predicted,true_label,is_correct
0,30000-30000-PHP-MONTHLY,40000-40000-PHP-MONTHLY,False
1,18000-18000-PHP-MONTHLY,18000-18000-PHP-MONTHLY,True
2,17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY,True
3,0-0-None-None,0-0-None-None,True
4,22000-22000-PHP-MONTHLY,22000-22000-PHP-MONTHLY,True
5,0-0-None-None,0-0-None-None,True
6,17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY,True
7,0-0-None-None,0-0-None-None,True
8,40000-40000-PHP-MONTHLY,40000-40000-PHP-MONTHLY,True
9,10-10-USD-HOURLY,358-358-THB-HOURLY,False
10,0-0-None-None,0-0-None-None,True
11,17500-17500-PHP-MONTHLY,17500-17500-PHP-MONTHLY,True
12,0-0-None-None,0-0-None-None,True
13,0-0-None-None,0-0-None-None,True
14,0-0-None-None,0-0-None-None,True
15,0-0-None-None,0-0-None-None,True
16,0-0-None-None,0-0-None-None,True
17,90000-90000-PHP-MONTHLY,90000-90000-PHP-MONTHLY,True
18,0-0-None-None,0-0-None-None,True
19,16000-16000-PHP-MONTHLY,16000-16000-PHP-MONTHLY,True
