index,predicted,true_label,is_correct
0,0-0-SGD-MONTHLY,0-0-None-None,False
1,0-0-SGD-MONTHLY,0-0-None-None,False
2,625-875-SGD-WEEKLY,625-875-SGD-WEEKLY,True
3,2500-2800-SGD-MONTHLY,2500-2800-SGD-MONTHLY,True
4,0-0-None-None,0-0-None-None,True
5,350-500-SGD-WEEKLY,350-500-SGD-WEEKLY,True
6,0-0-None-None,0-0-None-None,True
7,500-625-SGD-WEEKLY,500-625-SGD-WEEKLY,True
8,500-625-SGD-WEEKLY,500-625-SGD-WEEKLY,True
9,2000-3000-SGD-MONTHLY,2000-3000-SGD-MONTHLY,True
10,2500-3300-SGD-MONTHLY,2500-3300-SGD-MONTHLY,True
11,500-1250-SGD-WEEKLY,500-1250-SGD-WEEKLY,True
12,12-12-SGD-HOURLY,12-12-SGD-HOURLY,True
13,2800-3500-SGD-MONTHLY,2800-3500-SGD-MONTHLY,True
14,3000-4000-SGD-MONTHLY,3000-4000-SGD-MONTHLY,True
15,2000-3000-SGD-MONTHLY,2000-3000-SGD-MONTHLY,True
16,5000-5500-SGD-MONTHLY,5000-5500-SGD-MONTHLY,True
17,0-0-None-None,0-0-None-None,True
18,3000-4000-SGD-MONTHLY,3000-4000-SGD-MONTHLY,True
19,0-0-None-None,0-0-None-None,True
