index,predicted,true_label,is_correct
0,intermediate,intermediate,True
1,experienced,intermediate,False
2,experienced,experienced,True
3,senior,director,False
4,senior,intermediate,False
5,senior,senior,True
6,experienced,experienced,True
7,senior,experienced,False
8,experienced,intermediate,False
9,experienced,intermediate,False
10,experienced,experienced,True
11,senior,senior,True
12,senior,intermediate,False
13,senior,intermediate,False
14,experienced,experienced,True
15,senior,experienced,False
16,experienced,junior,False
17,senior,senior,True
18,experienced,experienced,True
19,experienced,experienced,True
20,assistant,assistant,True
21,senior,experienced,False
22,experienced,experienced,True
a,intermediate,experienced,False
24,experienced,intermediate,False
25,senior,intermediate,False
26,experienced,experienced,True
27,experienced,experienced,True
28,experienced,intermediate,False
29,senior,senior,True
