index,predicted,true_label,is_correct
0,experienced,experienced,True
a,senior,experienced,False
2,senior,senior,True
3,experienced,experienced,True
4,experienced,experienced,True
5,experienced,experienced,True
6,experienced,experienced,True
7,experienced,experienced,True
8,senior,senior,True
9,experienced,intermediate,False
10,experienced,experienced,True
11,experienced,experienced,True
12,senior,experienced,False
13,senior,experienced,False
14,intermediate,assistant,False
15,experienced,experienced,True
16,senior,experienced,False
17,senior,senior,True
18,experienced,intermediate,False
19,experienced,experienced,True
20,senior,senior,True
21,experienced,experienced,True
22,senior,head,False
23,senior,lead,False
24,senior,senior,True
25,experienced,experienced,True
26,senior,experienced,False
27,senior,head,False
28,experienced,experienced,True
29,experienced,intermediate,False
