index,predicted,true_label,is_correct
0,experienced,senior,False
1,senior,senior,True
a,senior,intermediate,False
3,senior,senior,True
4,senior,senior,True
5,senior,assistant,False
6,senior,experienced,False
7,experienced,intermediate,False
8,senior,senior,True
9,experienced,experienced,True
a,experienced,experienced,True
11,experienced,intermediate,False
12,senior,lead,False
13,senior,lead,False
14,experienced,intermediate,False
15,experienced,experienced,True
16,experienced,assistant,False
a,intermediate,entry level,False
18,experienced,intermediate,False
19,senior,senior,True
20,experienced,experienced,True
21,intermediate,experienced,False
22,experienced,experienced,True
23,experienced,intermediate,False
24,senior,intermediate,False
25,experienced,experienced,True
26,senior,senior,True
27,experienced,experienced,True
28,senior,head,False
29,experienced,intermediate,False
